borrower_id,income_trend_score,balance_trend_score,payment_consistency_score,expense_pressure_score,income_volatility_score,loan_health_score,risk_bucket
B1011,13.65,9.69,50.0,15.64,17.74,20.64,Red
B1012,13.25,9.02,50.0,18.33,16.86,20.67,Red
B1013,13.34,9.23,50.0,19.2,16.39,20.83,Red
B1014,13.74,9.72,50.0,16.77,17.05,20.77,Red
B1015,14.05,8.95,50.0,18.02,17.3,20.89,Red
B1016,13.13,9.39,50.0,19.55,16.22,20.84,Red
B1017,12.05,9.12,50.0,20.38,16.08,20.56,Red
B1018,13.71,9.11,50.0,16.59,17.68,20.65,Red
B1019,12.92,9.62,50.0,21.87,16.65,21.23,Red
B1020,13.05,9.5,50.0,21.38,15.83,21.08,Red
B1021,13.75,8.96,50.0,14.32,17.3,20.24,Red
B1022,13.03,9.34,50.0,17.13,16.33,20.45,Red
B1023,13.35,9.07,50.0,16.9,16.31,20.44,Red
B1024,13.4,9.02,50.0,16.92,17.18,20.53,Red
B1025,12.31,8.62,50.0,14.95,15.49,19.64,Red
B1026,13.35,9.08,50.0,15.49,16.36,20.23,Red
B1027,12.45,9.85,50.0,17.17,16.5,20.42,Red
B1028,13.24,9.77,50.0,18.84,17.0,20.94,Red
B1029,13.52,9.38,50.0,15.16,17.22,20.4,Red
B1030,13.09,10.14,50.0,20.08,16.4,21.11,Red
B1031,12.98,9.18,50.0,16.52,16.32,20.3,Red
B1032,13.52,9.33,50.0,16.29,15.7,20.4,Red
B1033,12.52,9.5,50.0,18.26,15.94,20.46,Red
B1034,13.78,8.75,50.0,15.51,17.72,20.42,Red
B1035,13.43,9.32,50.0,20.18,16.33,21.02,Red
B1036,13.34,8.87,50.0,18.28,16.36,20.6,Red
B1037,13.59,9.24,50.0,22.06,17.79,21.48,Red
B1038,13.01,9.34,50.0,21.6,16.61,21.14,Red
B1039,12.9,9.72,50.0,16.2,16.58,20.39,Red
B1040,12.89,9.27,50.0,15.98,17.64,20.35,Red
B1041,13.07,8.53,50.0,17.16,16.9,20.32,Red
B1042,13.85,9.8,50.0,21.64,17.48,21.6,Red
B1043,13.35,9.08,50.0,17.91,15.89,20.55,Red
B1044,13.14,9.75,50.0,17.22,16.6,20.62,Red
B1045,13.74,9.11,50.0,19.36,17.59,21.06,Red
B1046,12.75,9.62,50.0,15.06,17.53,20.24,Red
B1047,13.48,9.87,50.0,19.09,16.52,21.03,Red
B1048,13.58,8.96,50.0,16.45,17.82,20.56,Red
B1049,13.44,9.14,50.0,19.43,16.64,20.9,Red
B1050,12.72,9.66,50.0,16.05,16.91,20.33,Red
B1051,14.16,9.18,50.0,14.76,17.52,20.51,Red
B1052,13.93,9.5,50.0,21.23,17.51,21.49,Red
B1053,13.5,9.77,50.0,17.93,17.38,20.92,Red
B1054,12.31,9.17,50.0,15.34,15.97,19.88,Red
B1055,12.79,9.4,50.0,16.92,15.75,20.3,Red
B1056,12.49,9.69,50.0,19.65,16.47,20.76,Red
B1057,13.27,9.42,50.0,20.9,17.5,21.22,Red
B1058,13.54,9.88,50.0,21.06,17.23,21.41,Red
B1059,12.81,9.12,50.0,15.07,17.1,20.09,Red
B1060,13.39,9.28,50.0,19.7,16.88,20.98,Red
B1061,13.45,9.64,50.0,16.71,17.88,20.74,Red
B1062,13.09,9.7,50.0,18.6,17.08,20.85,Red
B1063,14.59,9.07,50.0,19.63,17.89,21.38,Red
B1064,13.89,9.41,50.0,15.67,17.52,20.62,Red
B1065,13.25,9.42,50.0,20.62,15.34,20.96,Red
B1066,13.86,9.31,50.0,17.09,17.59,20.81,Red
B1067,12.48,9.64,50.0,20.48,16.04,20.83,Red
B1068,13.2,9.13,50.0,19.36,15.73,20.72,Red
B1069,13.72,9.7,50.0,19.11,16.38,21.05,Red
B1070,13.17,9.41,50.0,18.99,16.23,20.78,Red
B1071,12.91,9.37,50.0,17.53,16.89,20.53,Red
B1072,12.73,10.25,50.0,20.57,16.42,21.11,Red
B1073,14.56,9.38,50.0,15.79,18.0,20.88,Red
B1074,13.05,9.53,50.0,16.93,16.13,20.45,Red
B1075,12.05,8.6,50.0,16.72,15.56,19.83,Red
B1076,12.27,8.95,50.0,19.92,16.06,20.51,Red
B1077,13.1,9.18,50.0,21.81,16.93,21.19,Red
B1078,12.36,9.61,50.0,18.58,15.93,20.49,Red
B1079,13.73,9.04,50.0,15.54,16.8,20.39,Red
B1080,13.78,9.28,50.0,20.35,17.37,21.24,Red
B1081,13.72,9.55,50.0,17.18,18.14,20.89,Red
B1082,12.64,9.36,50.0,20.78,15.07,20.76,Red
B1083,13.35,9.78,50.0,15.98,16.81,20.53,Red
B1084,13.81,9.17,50.0,21.7,17.05,21.4,Red
B1085,13.4,9.96,50.0,20.07,16.48,21.17,Red
B1086,13.43,9.08,50.0,19.01,17.14,20.86,Red
B1087,12.71,9.5,50.0,19.72,16.87,20.83,Red
B1088,13.04,9.09,50.0,18.33,17.09,20.64,Red
B1089,13.45,9.25,50.0,16.55,17.68,20.6,Red
B1090,13.91,9.49,50.0,20.47,16.4,21.26,Red
B1091,13.42,9.39,50.0,17.12,17.12,20.65,Red
B1092,12.51,9.02,50.0,17.45,16.22,20.25,Red
B1093,12.67,9.58,50.0,17.23,15.63,20.34,Red
B1094,13.64,9.68,50.0,17.15,17.86,20.87,Red
B1095,13.22,9.23,50.0,20.13,17.42,21.04,Red
B1096,13.11,9.32,50.0,19.79,15.74,20.81,Red
B1097,12.78,9.5,50.0,17.34,15.99,20.41,Red
B1098,12.94,9.48,50.0,17.35,16.03,20.46,Red
B1099,13.66,9.98,50.0,16.73,17.32,20.83,Red
B1100,13.69,9.19,50.0,16.67,17.05,20.61,Red
B1101,13.59,9.6,50.0,16.72,16.97,20.68,Red
B1102,13.59,9.35,50.0,16.78,16.91,20.62,Red
B1103,14.52,8.87,50.0,19.42,17.81,21.27,Red
B1104,14.76,9.75,50.0,17.77,18.71,21.4,Red
B1105,13.82,9.05,50.0,17.63,18.13,20.87,Red
B1106,12.92,9.25,50.0,18.23,15.95,20.52,Red
B1107,13.1,9.46,50.0,18.74,17.21,20.83,Red
B1108,11.9,8.96,50.0,19.13,15.96,20.28,Red
B1109,14.12,9.98,50.0,20.08,17.88,21.53,Red
B1110,14.03,9.64,50.0,22.62,16.85,21.7,Red
B1111,12.4,9.08,50.0,15.63,17.03,20.04,Red
B1112,13.41,8.73,50.0,15.1,17.25,20.2,Red
B1113,13.15,9.86,50.0,18.87,16.81,20.92,Red
B1114,13.55,10.0,50.0,23.93,17.63,21.92,Red
B1115,12.87,8.92,50.0,18.41,15.71,20.42,Red
B1116,12.32,8.94,50.0,17.88,15.65,20.18,Red
B1117,13.54,9.45,50.0,19.83,16.79,21.08,Red
B1118,12.61,9.54,50.0,21.15,15.21,20.86,Red
B1119,14.81,10.28,50.0,18.95,18.22,21.68,Red
B1120,14.64,9.88,50.0,19.24,17.55,21.5,Red
B1121,12.81,9.77,50.0,19.78,16.67,20.92,Red
B1122,13.03,10.07,50.0,20.13,16.95,21.14,Red
B1123,14.18,9.4,50.0,17.88,18.21,21.11,Red
B1124,13.87,9.35,50.0,18.1,16.85,20.9,Red
B1125,14.25,8.79,50.0,17.46,17.53,20.84,Red
B1126,12.7,8.81,50.0,18.78,16.42,20.47,Red
B1127,12.91,9.55,50.0,22.15,15.7,21.15,Red
B1128,13.47,9.13,50.0,17.85,16.97,20.7,Red
B1129,13.87,9.84,50.0,19.32,16.83,21.2,Red
B1130,14.5,9.69,50.0,16.22,18.47,21.05,Red
B1131,13.5,9.61,50.0,16.35,16.85,20.59,Red
B1132,14.05,9.76,50.0,19.4,17.84,21.35,Red
B1133,13.1,9.56,50.0,16.65,17.88,20.61,Red
B1134,13.64,9.33,50.0,18.57,17.06,20.92,Red
B1135,13.19,9.31,50.0,18.74,17.47,20.84,Red
B1136,14.21,9.43,50.0,17.39,17.33,20.96,Red
B1137,13.79,9.3,50.0,19.76,16.5,21.08,Red
B1138,13.39,9.99,50.0,16.79,16.39,20.67,Red
B1139,13.06,9.92,50.0,20.87,16.6,21.19,Red
B1140,13.04,10.2,50.0,20.97,17.51,21.36,Red
B1141,12.53,9.94,50.0,17.88,16.75,20.6,Red
B1142,13.64,9.53,50.0,18.62,16.81,20.95,Red
B1143,13.45,9.17,50.0,20.83,16.92,21.14,Red
B1144,13.92,10.24,50.0,19.09,18.19,21.42,Red
B1145,13.33,9.84,50.0,16.8,16.07,20.59,Red
B1146,13.14,8.97,50.0,19.9,15.91,20.76,Red
B1147,13.88,9.09,50.0,15.25,16.9,20.41,Red
B1148,13.84,8.92,50.0,18.39,17.08,20.85,Red
B1149,13.74,9.74,50.0,21.27,17.58,21.51,Red
B1150,14.0,8.93,50.0,18.51,17.7,20.98,Red
B1151,13.94,9.6,50.0,22.82,17.58,21.76,Red
B1152,13.26,9.06,50.0,17.58,16.14,20.49,Red
B1153,13.35,9.15,50.0,16.89,17.12,20.54,Red
B1154,13.26,9.46,50.0,18.35,17.07,20.8,Red
B1155,14.35,8.96,50.0,16.63,17.79,20.82,Red
B1156,14.01,9.02,50.0,20.65,17.67,21.32,Red
B1157,13.45,10.0,50.0,21.95,16.26,21.45,Red
B1158,13.79,9.66,50.0,17.17,17.77,20.9,Red
B1159,13.53,8.98,50.0,17.31,16.09,20.51,Red
B1160,13.73,9.54,50.0,19.86,17.97,21.28,Red
B1161,14.44,10.15,50.0,22.6,17.72,22.03,Red
B1162,13.3,8.81,50.0,18.15,17.21,20.64,Red
B1163,13.65,9.3,50.0,22.22,16.77,21.43,Red
B1164,14.9,9.74,50.0,17.41,17.78,21.29,Red
B1165,13.35,9.85,50.0,21.14,16.35,21.27,Red
B1166,14.35,9.44,50.0,16.47,17.61,20.9,Red
B1167,13.27,9.35,50.0,21.53,16.44,21.19,Red
B1168,13.2,9.11,50.0,16.09,16.76,20.33,Red
B1169,13.8,9.61,50.0,20.34,17.52,21.35,Red
B1170,13.78,9.26,50.0,18.73,18.12,21.07,Red
B1171,13.94,9.86,50.0,21.41,17.83,21.64,Red
B1172,13.94,9.72,50.0,19.87,17.27,21.32,Red
B1173,13.64,10.16,50.0,20.54,17.24,21.44,Red
B1174,13.39,9.07,50.0,19.62,16.97,20.92,Red
B1175,12.71,9.35,50.0,16.1,16.72,20.24,Red
B1176,13.64,9.49,50.0,21.42,17.48,21.43,Red
B1177,12.94,9.26,50.0,19.23,16.38,20.72,Red
B1178,13.62,9.56,50.0,20.49,16.66,21.22,Red
B1179,12.91,8.87,50.0,19.79,16.48,20.71,Red
B1180,13.36,9.1,50.0,18.17,16.67,20.68,Red
B1181,13.83,8.99,50.0,20.33,16.72,21.12,Red
B1182,13.26,9.13,50.0,17.98,16.99,20.66,Red
B1183,13.96,10.3,50.0,23.4,18.36,22.11,Red
B1184,13.05,10.06,50.0,20.72,16.85,21.22,Red
B1185,13.37,9.82,50.0,22.19,16.27,21.42,Red
B1186,13.6,8.91,50.0,18.3,16.22,20.67,Red
B1187,13.79,9.71,50.0,18.69,16.76,21.04,Red
B1188,13.2,9.7,50.0,18.4,16.55,20.8,Red
B1189,13.34,9.94,50.0,17.51,16.09,20.72,Red
B1190,14.86,9.97,50.0,17.71,18.24,21.43,Red
B1191,14.21,9.51,50.0,16.13,17.46,20.81,Red
B1192,14.58,10.17,50.0,21.46,18.14,21.95,Red
B1193,13.29,10.18,50.0,21.03,17.73,21.46,Red
B1194,12.95,9.21,50.0,18.92,16.42,20.67,Red
B1195,12.88,9.55,50.0,16.81,16.55,20.43,Red
B1196,14.19,8.64,50.0,16.11,17.53,20.59,Red
B1197,14.36,9.42,50.0,22.34,18.3,21.84,Red
B1198,13.1,9.38,50.0,17.93,17.11,20.68,Red
B1199,14.53,9.35,50.0,18.38,18.06,21.26,Red
B1200,14.18,9.52,50.0,21.71,18.44,21.73,Red
B1201,12.6,9.4,50.0,20.44,16.9,20.89,Red
B1202,14.1,9.21,50.0,18.34,17.73,21.06,Red
B1203,13.59,9.89,50.0,21.59,17.5,21.54,Red
B1204,15.07,9.24,50.0,21.72,18.39,21.93,Red
B1205,13.41,9.99,50.0,17.75,16.03,20.79,Red
B1206,14.15,8.79,50.0,20.47,18.36,21.35,Red
B1207,13.43,9.36,50.0,19.22,17.37,20.99,Red
B1208,13.8,9.98,50.0,22.04,16.96,21.64,Red
B1209,13.24,10.07,50.0,21.88,16.16,21.39,Red
B1210,14.61,9.73,50.0,21.0,18.34,21.8,Red
B1211,13.76,10.0,50.0,18.78,16.34,21.08,Red
B1212,13.94,9.83,50.0,19.78,17.66,21.37,Red
B1213,13.88,9.79,50.0,19.74,17.71,21.34,Red
B1214,14.45,9.51,50.0,21.98,18.38,21.85,Red
B1215,13.27,9.99,50.0,22.02,17.37,21.52,Red
B1216,13.87,9.62,50.0,21.06,16.68,21.39,Red
B1217,13.81,9.69,50.0,22.61,16.5,21.61,Red
B1218,13.17,9.44,50.0,16.82,17.91,20.62,Red
B1219,13.81,10.58,50.0,18.88,17.15,21.34,Red
B1220,13.72,9.17,50.0,19.21,17.8,21.07,Red
B1221,13.74,9.84,50.0,21.73,17.72,21.61,Red
B1222,13.75,9.77,50.0,18.31,17.01,21.02,Red
B1223,13.97,9.56,50.0,19.93,17.85,21.36,Red
B1224,13.77,9.21,50.0,17.17,17.88,20.8,Red
B1225,12.99,9.99,50.0,20.77,17.42,21.25,Red
B1226,13.64,9.79,50.0,21.9,17.06,21.53,Red
B1227,13.5,9.43,50.0,20.71,17.86,21.3,Red
B1228,13.95,9.75,50.0,18.82,17.89,21.23,Red
B1229,14.32,9.18,50.0,20.74,17.51,21.45,Red
B1230,13.46,10.17,50.0,22.52,17.71,21.73,Red
B1231,14.25,9.79,50.0,17.78,17.56,21.15,Red
B1232,13.54,10.14,50.0,19.27,17.96,21.28,Red
B1233,13.92,9.31,50.0,19.25,18.08,21.2,Red
B1234,13.72,9.8,50.0,20.08,17.02,21.28,Red
B1235,14.28,9.67,50.0,21.53,18.43,21.77,Red
B1236,12.8,9.28,50.0,17.62,16.25,20.43,Red
B1237,13.88,9.84,50.0,21.77,17.43,21.63,Red
B1238,13.47,10.02,50.0,18.65,17.14,21.06,Red
B1239,14.27,10.08,50.0,20.69,18.09,21.71,Red
B1240,13.5,9.45,50.0,17.55,16.99,20.74,Red
B1241,13.86,10.22,50.0,18.93,17.96,21.35,Red
B1242,13.57,9.51,50.0,22.64,17.87,21.63,Red
B1243,13.52,9.5,50.0,19.37,17.0,21.04,Red
B1244,13.22,9.94,50.0,17.69,16.41,20.75,Red
B1245,13.02,9.24,50.0,17.53,17.08,20.55,Red
B1246,13.95,8.72,50.0,20.18,17.83,21.18,Red
B1247,14.07,10.04,50.0,20.52,17.11,21.52,Red
B1248,13.94,9.2,50.0,19.15,17.28,21.08,Red
B1249,13.68,9.88,50.0,19.62,17.85,21.3,Red
B1250,13.52,8.99,50.0,18.6,16.8,20.77,Red
B1251,13.83,9.22,50.0,18.66,16.54,20.91,Red
B1252,13.55,9.67,50.0,21.91,16.66,21.44,Red
B1253,13.45,9.76,50.0,20.74,17.65,21.35,Red
B1254,14.29,9.67,50.0,18.59,18.03,21.3,Red
B1255,13.14,10.06,50.0,19.26,17.54,21.1,Red
B1256,13.93,9.64,50.0,21.53,18.17,21.64,Red
B1257,12.82,9.39,50.0,18.79,16.93,20.7,Red
B1258,13.51,9.63,50.0,21.4,18.07,21.48,Red
B1259,13.56,9.51,50.0,17.94,16.97,20.83,Red
B1260,13.19,10.01,50.0,19.24,17.29,21.07,Red
B1261,13.31,10.29,50.0,23.72,16.77,21.8,Red
B1262,13.79,10.43,50.0,21.96,17.71,21.81,Red
B1263,13.51,10.33,50.0,19.56,17.73,21.34,Red
B1264,13.48,10.15,50.0,19.31,18.34,21.31,Red
B1265,13.95,9.95,50.0,17.87,17.04,21.06,Red
B1266,14.1,9.53,50.0,21.79,17.75,21.66,Red
B1267,14.03,9.88,50.0,17.83,17.48,21.1,Red
B1268,14.63,9.24,50.0,20.34,18.15,21.56,Red
B1269,13.5,9.62,50.0,21.53,17.86,21.47,Red
B1270,14.24,10.21,50.0,20.91,18.28,21.79,Red
B1271,14.48,9.48,50.0,20.75,17.48,21.57,Red
B1272,13.8,9.09,50.0,20.1,16.86,21.11,Red
B1273,13.76,10.04,50.0,18.6,16.59,21.09,Red
B1274,14.49,9.02,50.0,20.31,17.7,21.42,Red
B1275,14.04,10.23,50.0,20.57,18.34,21.69,Red
B1276,14.3,9.54,50.0,18.51,16.95,21.15,Red
B1277,13.9,9.16,50.0,19.87,17.72,21.21,Red
B1278,14.1,9.88,50.0,22.74,17.12,21.82,Red
B1279,14.46,9.91,50.0,21.03,18.32,21.8,Red
B1280,13.9,9.35,50.0,19.41,16.84,21.1,Red
B1281,14.05,10.01,50.0,21.36,17.95,21.72,Red
B1282,13.9,10.19,50.0,23.92,17.99,22.1,Red
B1283,13.89,9.91,50.0,18.64,17.42,21.18,Red
B1284,13.99,10.11,50.0,20.91,17.48,21.61,Red
B1285,13.9,10.36,50.0,19.1,18.19,21.44,Red
B1286,14.69,10.12,50.0,21.22,17.34,21.85,Red
B1287,13.64,9.59,50.0,20.37,17.81,21.33,Red
B1288,13.91,9.39,50.0,21.15,17.24,21.42,Red
B1289,13.47,9.49,50.0,19.95,17.06,21.11,Red
B1290,13.15,9.54,50.0,21.03,17.65,21.25,Red
B1291,13.73,10.15,50.0,21.04,16.65,21.48,Red
B1292,14.55,10.23,50.0,18.55,18.58,21.56,Red
B1293,14.6,9.61,50.0,22.38,17.06,21.85,Red
B1294,13.49,10.4,50.0,23.96,18.01,22.04,Red
B1295,14.06,9.95,50.0,18.44,17.17,21.19,Red
B1296,14.26,9.86,50.0,22.55,17.99,21.92,Red
B1297,13.91,10.3,50.0,22.54,17.14,21.84,Red
B1298,14.66,10.45,50.0,20.54,18.08,21.9,Red
B1299,13.67,10.66,50.0,23.17,16.9,21.93,Red
B1300,14.07,9.05,50.0,17.0,17.66,20.8,Red
B1301,8.95,5.15,33.0,5.88,11.29,12.58,Red
B1302,8.77,5.34,33.0,5.71,9.99,12.42,Red
B1303,8.57,5.41,33.0,5.56,11.1,12.47,Red
B1304,9.15,5.07,33.0,5.69,10.8,12.55,Red
B1305,8.35,4.96,33.0,5.98,9.54,12.2,Red
B1306,8.37,5.76,33.0,6.17,10.5,12.53,Red
B1307,9.53,5.29,33.0,5.51,11.3,12.74,Red
B1308,8.01,5.61,33.0,6.31,9.52,12.3,Red
B1309,8.47,5.59,33.0,6.21,9.19,12.39,Red
B1310,8.78,5.39,33.0,5.73,9.23,12.36,Red
B1311,9.25,5.32,33.0,6.17,11.11,12.74,Red
B1312,8.84,5.38,33.0,5.93,9.93,12.48,Red
B1313,8.79,5.61,33.0,5.87,9.44,12.46,Red
B1314,9.43,5.7,33.0,6.36,11.09,12.92,Red
B1315,8.68,5.43,33.0,6.09,10.09,12.48,Red
B1316,8.71,5.04,33.0,5.6,10.8,12.39,Red
B1317,9.14,5.41,33.0,5.58,11.19,12.65,Red
B1318,8.86,4.97,33.0,5.56,10.66,12.4,Red
B1319,8.77,5.58,33.0,5.67,11.04,12.58,Red
B1320,8.78,5.49,33.0,6.14,9.39,12.47,Red
B1321,8.91,5.32,33.0,6.5,10.64,12.64,Red
B1322,9.08,5.59,33.0,6.29,11.29,12.79,Red
B1323,9.49,5.24,33.0,6.26,11.51,12.85,Red
B1324,8.55,5.23,33.0,5.85,10.17,12.37,Red
B1325,9.42,5.14,33.0,5.95,11.75,12.78,Red
B1326,9.09,5.09,33.0,5.71,10.13,12.47,Red
B1327,8.95,4.97,33.0,5.78,10.97,12.49,Red
B1328,8.51,5.29,33.0,5.82,10.35,12.38,Red
B1329,9.78,5.76,33.0,6.47,11.01,13.05,Red
B1330,9.57,5.91,33.0,6.02,10.94,12.95,Red
B1331,8.28,5.3,33.0,6.11,9.75,12.3,Red
B1332,9.4,5.01,33.0,6.04,11.74,12.75,Red
B1333,9.21,5.4,33.0,6.58,11.15,12.82,Red
B1334,8.85,5.45,33.0,6.04,10.11,12.53,Red
B1335,8.97,5.81,33.0,6.81,11.16,12.88,Red
B1336,8.94,5.31,33.0,6.38,10.44,12.61,Red
B1337,8.55,5.54,33.0,5.79,9.49,12.37,Red
B1338,8.44,5.3,33.0,6.28,8.94,12.29,Red
B1339,9.31,5.74,33.0,5.75,11.49,12.84,Red
B1340,9.19,5.23,33.0,5.86,11.08,12.65,Red
B1341,8.48,5.3,33.0,6.06,10.24,12.4,Red
B1342,9.13,5.55,33.0,6.03,11.27,12.76,Red
B1343,9.24,5.24,33.0,6.58,11.1,12.78,Red
B1344,9.52,5.3,33.0,6.07,10.86,12.78,Red
B1345,9.48,5.64,33.0,6.22,11.08,12.9,Red
B1346,9.5,5.49,33.0,6.21,11.61,12.92,Red
B1347,8.75,5.61,33.0,6.31,10.64,12.64,Red
B1348,8.16,5.55,33.0,6.07,10.13,12.36,Red
B1349,8.41,5.17,33.0,5.78,9.6,12.24,Red
B1350,8.49,5.84,33.0,6.15,9.72,12.5,Red
B1351,8.92,5.67,33.0,6.35,10.12,12.66,Red
B1352,8.87,5.52,33.0,6.11,9.7,12.53,Red
B1353,8.69,5.35,33.0,5.74,10.19,12.42,Red
B1354,9.5,5.35,33.0,5.8,11.59,12.82,Red
B1355,8.88,5.06,33.0,5.6,11.65,12.53,Red
B1356,9.33,5.4,33.0,5.92,11.61,12.8,Red
B1357,8.57,5.49,33.0,5.88,9.72,12.4,Red
B1358,9.02,5.73,33.0,6.23,9.83,12.66,Red
B1359,8.59,5.44,33.0,6.3,10.33,12.52,Red
B1360,9.4,5.66,33.0,6.08,11.72,12.92,Red
B1361,8.71,5.3,33.0,6.19,10.22,12.49,Red
B1362,8.63,5.43,33.0,6.23,10.06,12.49,Red
B1363,9.13,5.52,33.0,6.32,10.21,12.69,Red
B1364,9.07,5.34,33.0,6.46,10.27,12.65,Red
B1365,9.07,5.76,33.0,5.84,11.42,12.78,Red
B1366,9.05,5.43,33.0,6.53,11.36,12.79,Red
B1367,8.79,5.65,33.0,6.61,9.89,12.63,Red
B1368,8.86,5.39,33.0,6.49,10.4,12.62,Red
B1369,9.35,5.55,33.0,6.01,9.78,12.67,Red
B1370,8.9,5.33,33.0,6.4,10.58,12.62,Red
B1371,8.89,5.71,33.0,6.06,10.61,12.66,Red
B1372,9.18,5.5,33.0,5.87,10.54,12.66,Red
B1373,9.36,5.44,33.0,6.14,11.01,12.79,Red
B1374,9.39,5.74,33.0,6.06,10.76,12.84,Red
B1375,8.87,5.66,33.0,6.63,9.92,12.66,Red
B1376,8.93,5.17,33.0,5.98,11.52,12.62,Red
B1377,8.74,5.78,33.0,5.76,8.99,12.43,Red
B1378,8.81,5.37,33.0,6.65,11.6,12.74,Red
B1379,8.66,5.77,33.0,6.34,9.9,12.58,Red
B1380,8.79,5.42,33.0,6.25,9.63,12.49,Red
B1381,9.22,5.21,33.0,5.75,11.2,12.65,Red
B1382,9.91,5.52,33.0,6.03,12.03,13.06,Red
B1383,9.57,5.58,33.0,5.79,12.21,12.96,Red
B1384,9.59,5.28,33.0,6.75,11.49,12.96,Red
B1385,9.49,5.38,33.0,5.94,10.17,12.7,Red
B1386,8.7,5.41,33.0,6.76,9.83,12.56,Red
B1387,8.28,5.51,33.0,6.03,9.9,12.36,Red
B1388,9.46,5.85,33.0,6.81,11.95,13.12,Red
B1389,9.11,5.48,33.0,6.11,11.15,12.73,Red
B1390,9.42,5.95,33.0,6.96,9.89,12.95,Red
B1391,9.74,5.05,33.0,6.56,12.29,13.0,Red
B1392,8.67,5.58,33.0,6.54,10.32,12.61,Red
B1393,9.19,5.14,33.0,6.16,10.54,12.62,Red
B1394,9.53,5.37,33.0,6.19,11.46,12.88,Red
B1395,9.34,5.38,33.0,5.56,11.07,12.69,Red
B1396,9.17,5.76,33.0,6.15,11.0,12.81,Red
B1397,9.2,5.6,33.0,6.44,10.27,12.75,Red
B1398,9.14,5.74,33.0,6.44,10.49,12.79,Red
B1399,9.35,5.63,33.0,6.27,10.4,12.79,Red
B1400,9.33,5.48,33.0,6.48,11.14,12.86,Red
B1401,9.49,5.41,33.0,6.44,11.77,12.94,Red
B1402,9.6,5.55,33.0,6.45,11.98,13.03,Red
B1403,8.81,5.64,33.0,6.4,10.77,12.69,Red
B1404,8.43,5.59,33.0,6.03,9.9,12.42,Red
B1405,9.81,5.86,33.0,6.22,12.08,13.15,Red
B1406,9.37,5.97,33.0,6.04,10.66,12.88,Red
B1407,10.17,5.54,33.0,6.47,12.88,13.29,Red
B1408,9.61,5.4,33.0,6.47,11.44,12.95,Red
B1409,9.35,5.45,33.0,6.28,10.58,12.77,Red
B1410,9.02,5.8,33.0,6.53,9.94,12.73,Red
B1411,9.52,5.51,33.0,6.55,11.03,12.92,Red
B1412,9.23,5.42,33.0,6.36,10.11,12.69,Red
B1413,9.96,5.82,33.0,6.82,12.05,13.27,Red
B1414,9.3,5.38,33.0,6.4,11.46,12.84,Red
B1415,9.36,5.29,33.0,6.08,10.29,12.67,Red
B1416,9.86,6.18,33.0,6.84,12.47,13.38,Red
B1417,9.65,5.94,33.0,6.39,12.37,13.18,Red
B1418,9.41,5.84,33.0,7.04,12.47,13.19,Red
B1419,9.21,5.47,33.0,6.53,11.54,12.86,Red
B1420,8.77,5.94,33.0,6.15,10.29,12.67,Red
B1421,9.51,5.49,33.0,6.27,12.08,12.97,Red
B1422,9.91,5.76,33.0,6.85,12.4,13.28,Red
B1423,9.22,5.83,33.0,6.7,10.98,12.93,Red
B1424,9.89,5.32,33.0,6.52,11.81,13.06,Red
B1425,9.07,5.59,33.0,5.89,11.27,12.73,Red
B1426,9.54,5.45,33.0,5.93,12.06,12.92,Red
B1427,9.71,5.54,33.0,6.69,12.15,13.12,Red
B1428,8.82,5.51,33.0,6.23,9.89,12.55,Red
B1429,9.76,5.98,33.0,6.57,12.17,13.23,Red
B1430,9.53,5.95,33.0,6.54,10.4,12.97,Red
B1431,9.42,5.52,33.0,5.92,11.17,12.81,Red
B1432,9.29,5.66,33.0,6.99,11.59,13.01,Red
B1433,9.42,5.75,33.0,5.86,10.7,12.81,Red
B1434,9.42,5.99,33.0,6.33,10.8,12.95,Red
B1435,10.42,5.67,33.0,6.79,12.53,13.42,Red
B1436,9.14,5.36,33.0,6.05,11.26,12.72,Red
B1437,9.56,5.67,33.0,6.45,10.59,12.91,Red
B1438,8.97,5.11,33.0,6.41,11.1,12.64,Red
B1439,9.35,5.87,33.0,6.2,11.01,12.9,Red
B1440,9.44,5.53,33.0,6.44,12.22,13.0,Red
B1441,9.38,5.67,33.0,6.78,11.55,13.0,Red
B1442,9.15,5.63,33.0,6.46,11.56,12.88,Red
B1443,8.6,5.87,33.0,6.25,10.88,12.67,Red
B1444,9.51,5.44,33.0,6.63,10.21,12.83,Red
B1445,10.1,5.57,33.0,6.66,12.69,13.29,Red
B1446,8.65,5.52,33.0,6.81,9.81,12.58,Red
B1447,9.14,6.01,33.0,6.78,10.42,12.9,Red
B1448,9.5,5.28,33.0,5.97,11.31,12.8,Red
B1449,8.82,5.77,33.0,6.05,11.22,12.72,Red
B1450,9.89,5.38,33.0,5.98,11.42,12.95,Red
B1451,9.06,5.47,33.0,6.39,11.69,12.81,Red
B1452,9.69,6.09,33.0,6.3,11.94,13.17,Red
B1453,8.65,5.71,33.0,6.7,10.94,12.72,Red
B1454,9.49,5.65,33.0,6.93,11.22,13.02,Red
B1455,10.07,5.7,33.0,7.1,12.6,13.37,Red
B1456,9.25,5.99,33.0,7.06,10.52,12.98,Red
B1457,9.64,5.45,33.0,6.36,12.86,13.09,Red
B1458,9.25,6.08,33.0,6.58,12.13,13.1,Red
B1459,10.08,6.06,33.0,6.93,12.74,13.45,Red
